,sqft_basement,view_qual,yr_renovated,zipcode_98040,space_above,see_sea,bathrooms,space_int_15,zipcode_98006,bedrooms,lat,zipcode_98039,zipcode_98112,grade,interior_space,zipcode_98004,floors
8738,0,0,0,0,2031,0,3.0,2390,0,3,47.3058,0,0,9,2031,0,2.0
3425,320,0,0,0,880,0,2.0,1510,0,3,47.6936,0,0,6,1200,0,1.0
3970,0,0,0,0,730,0,1.0,1170,0,2,47.4275,0,0,6,730,0,1.0
10587,0,0,0,0,2560,0,2.25,1860,0,4,47.7261,0,0,7,2560,0,2.0
12409,1010,0,0,0,1060,0,1.5,1450,0,4,47.3417,0,0,7,2070,0,1.0
15340,670,0,0,0,1720,0,2.0,1950,0,4,47.3197,0,0,7,2390,0,2.0
11921,0,0,0,0,830,0,1.0,1350,0,1,47.6557,0,0,7,830,0,1.0
18862,700,2,0,0,1600,0,2.5,2510,0,4,47.5256,0,0,8,2300,0,1.0
3595,860,2,0,0,1240,0,2.5,2000,0,4,47.6146,0,0,7,2100,0,1.0
15970,870,0,0,0,1600,0,2.25,1970,0,4,47.6936,0,0,7,2470,0,1.0
20532,0,0,0,0,1930,0,2.5,910,0,3,47.4692,0,0,7,1930,0,2.0
13152,0,0,0,0,2280,0,2.5,2350,0,4,47.7628,0,0,8,2280,0,2.0
18332,0,0,0,0,1200,0,1.0,3290,0,3,47.5883,0,0,7,1200,0,2.0
3925,540,0,1985,0,2330,0,3.0,2380,0,6,47.401,0,0,7,2870,0,2.0
5444,0,0,0,0,1580,0,2.5,2070,0,3,47.3539,0,0,7,1580,0,2.0
14113,0,0,0,0,940,0,1.0,1110,0,2,47.2005,0,0,7,940,0,1.0
4949,1540,0,0,0,1820,0,2.75,2580,0,3,47.2604,0,0,7,3360,0,1.0
8792,890,3,0,0,2030,0,2.5,3790,0,4,47.6406,0,0,10,2920,0,1.0
14552,380,0,0,0,1200,0,2.25,1660,0,3,47.6254,0,0,7,1580,0,1.0
2471,300,0,0,0,780,0,1.0,1380,0,2,47.6715,0,0,7,1080,0,1.0
3325,0,0,0,0,3800,0,3.0,2580,0,5,47.3488,0,0,9,3800,0,1.5
14966,1040,0,0,0,1560,0,2.75,2600,0,4,47.6782,0,0,8,2600,0,1.0
12289,0,0,0,0,1210,0,1.75,1650,0,2,47.3438,0,0,7,1210,0,1.0
6267,0,0,0,0,1660,0,2.25,1680,0,3,47.7362,0,0,7,1660,0,2.0
14438,0,0,0,0,1320,0,1.75,1570,0,2,47.3634,0,0,7,1320,0,1.0
3937,600,0,0,0,1200,0,1.5,1800,0,3,47.7693,0,0,7,1800,0,1.0
13225,0,0,0,0,2470,0,2.25,2470,0,4,47.5924,0,0,8,2470,0,2.0
11288,770,0,0,0,770,0,2.25,1680,0,3,47.6942,0,0,7,1540,0,1.0
2267,1940,1,0,0,4360,0,4.0,3260,0,5,47.5922,0,0,12,6300,1,2.0
5405,620,0,0,0,2100,0,3.5,2280,0,4,47.4612,0,0,8,2720,0,2.0
16143,0,0,0,0,1440,0,1.0,1440,0,3,47.2738,0,0,7,1440,0,1.0
7663,1700,0,2002,0,2250,0,3.0,1890,0,5,47.6363,0,0,9,3950,1,1.0
16914,0,0,0,0,1610,0,1.75,2220,0,3,47.5659,0,0,7,1610,0,1.0
14528,900,0,0,0,1400,0,2.75,1750,0,5,47.3084,0,0,7,2300,0,1.0
21047,0,0,0,0,1390,0,2.0,1390,0,4,47.5393,0,0,7,1390,0,3.0
