,zipcode_98168,zipcode_98055,zipcode_98112,zipcode_98075,zipcode_98022,space_land_15,zipcode_98038,view_qual_3,zipcode_98102,zipcode_98105,zipcode_98042,zipcode_98030,see_sea,zipcode_98119,zipcode_98002,bathrooms,bedrooms,zipcode_98058,zipcode_98006,zipcode_98001,floors,space_above,view_qual_2,zipcode_98198,zipcode_98031,space_int_15,zipcode_98005,view_qual_4,zipcode_98109,lat,yr_renovated,zipcode_98003,zipcode_98004,zipcode_98023,zipcode_98040,zipcode_98092,grade,zipcode_98106,zipcode_98033,house_age,zipcode_98133,view_qual_1,land_space,view_qual_0,zipcode_98178,interior_space,zipcode_98199,zipcode_98039,sqft_basement
8738,0,0,0,0,0,7700,0,0,0,0,0,0,0,0,0,3.0,3,0,0,0,2.0,2031,0,0,0,2390,0,0,0,47.3058,0,0,0,1,0,0,9,0,0,1988,0,0,7702,1,0,2031,0,0,0
3425,0,0,0,0,0,5854,0,0,0,0,0,0,0,0,0,2.0,3,0,0,0,1.0,880,0,0,0,1510,0,0,0,47.6936,0,0,0,0,0,0,6,0,0,1937,0,0,5029,1,0,1200,0,0,320
3970,0,0,0,0,0,7034,0,0,0,0,0,0,0,0,0,1.0,2,0,0,0,1.0,730,0,0,0,1170,0,0,0,47.4275,0,0,0,0,0,0,6,0,0,1953,0,0,6728,1,0,730,0,0,0
10587,0,0,0,0,0,9731,0,0,0,0,0,0,0,0,0,2.25,4,0,0,0,2.0,2560,0,0,0,1860,0,0,0,47.7261,0,0,0,0,0,0,7,0,0,1973,0,0,9731,1,0,2560,0,0,0
12409,0,0,0,0,0,7350,0,0,0,0,0,0,0,0,0,1.5,4,0,0,1,1.0,1060,0,0,0,1450,0,0,0,47.3417,0,0,0,0,0,0,7,0,0,1964,0,0,7245,1,0,2070,0,0,1010
15340,0,0,0,0,0,22750,0,0,0,0,0,0,0,0,0,2.0,4,0,0,0,2.0,1720,0,0,0,1950,0,0,0,47.3197,0,0,0,1,0,0,7,0,0,1949,0,0,23972,1,0,2390,0,0,670
11921,0,0,0,0,0,2512,0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,1.0,830,0,0,0,1350,0,0,0,47.6557,0,0,0,0,0,0,7,0,0,1924,0,0,3200,1,0,830,0,0,0
18862,0,0,0,0,0,7500,0,0,0,0,0,0,0,0,0,2.5,4,0,0,0,1.0,1600,1,0,0,2510,0,0,0,47.5256,0,0,0,0,0,0,8,0,0,1961,0,0,9900,0,0,2300,0,0,700
3595,0,0,0,0,0,8800,0,0,0,0,0,0,0,0,0,2.5,4,0,0,0,1.0,1240,1,0,0,2000,0,0,0,47.6146,0,0,0,0,0,0,7,0,0,1960,0,0,8800,0,0,2100,0,0,860
15970,0,0,0,0,0,7700,0,0,0,0,0,0,0,0,0,2.25,4,0,0,0,1.0,1600,0,0,0,1970,0,0,0,47.6936,0,0,0,0,0,0,7,0,0,1978,0,0,7350,1,0,2470,0,0,870
20532,0,0,0,0,0,6604,0,0,0,0,0,0,0,0,0,2.5,3,0,0,0,2.0,1930,0,0,0,910,0,0,0,47.4692,0,0,0,0,0,0,7,0,0,2014,0,0,6604,1,0,1930,0,0,0
13152,0,0,0,0,0,35020,0,0,0,0,0,0,0,0,0,2.5,4,0,0,0,2.0,2280,0,0,0,2350,0,0,0,47.7628,0,0,0,0,0,0,8,0,0,1996,0,0,27441,1,0,2280,0,0,0
18332,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,1.0,3,0,0,0,2.0,1200,0,0,0,3290,0,0,0,47.5883,0,0,0,0,0,0,7,0,0,1908,0,0,7000,1,0,1200,0,0,0
