bedrooms,bathrooms,interior_space,floors,see_sea,view_qual,grade,space_above,sqft_basement,yr_renovated,lat,space_int_15,zipcode_98004,zipcode_98006,zipcode_98039,zipcode_98040,zipcode_98112
3,1.0,1180,1.0,0,0,7,1180,0,0,47.5112,1340,0,0,0,0,0
3,2.25,2570,2.0,0,0,7,2170,400,1991,47.721,1690,0,0,0,0,0
2,1.0,770,1.0,0,0,6,770,0,0,47.7379,2720,0,0,0,0,0
4,3.0,1960,1.0,0,0,7,1050,910,0,47.5208,1360,0,0,0,0,0
3,2.0,1680,1.0,0,0,8,1680,0,0,47.6168,1800,0,0,0,0,0
4,4.5,5420,1.0,0,0,11,3890,1530,0,47.6561,4760,0,0,0,0,0
3,2.25,1715,2.0,0,0,7,1715,0,0,47.3097,2238,0,0,0,0,0
3,1.5,1060,1.0,0,0,7,1060,0,0,47.4095,1650,0,0,0,0,0
3,1.0,1780,1.0,0,0,7,1050,730,0,47.5123,1780,0,0,0,0,0
3,2.5,1890,2.0,0,0,7,1890,0,0,47.3684,2390,0,0,0,0,0
3,2.5,3560,1.0,0,0,8,1860,1700,0,47.6007,2210,0,0,0,0,0
2,1.0,1160,1.0,0,0,7,860,300,0,47.69,1330,0,0,0,0,0
3,1.0,1430,1.5,0,0,7,1430,0,0,47.7558,1780,0,0,0,0,0
3,1.75,1370,1.0,0,0,7,1370,0,0,47.6127,1370,0,0,0,0,0
5,2.0,1810,1.5,0,0,7,1810,0,0,47.67,1360,0,0,0,0,0
4,3.0,2950,2.0,0,3,9,1980,970,0,47.5714,2140,0,0,0,0,0
3,2.0,1890,2.0,0,0,7,1890,0,0,47.7277,1890,0,0,0,0,0
4,1.0,1600,1.5,0,0,7,1600,0,0,47.6648,1610,0,0,0,0,0
2,1.0,1200,1.0,0,0,7,1200,0,0,47.3089,1060,0,0,0,0,0
3,1.0,1250,1.0,0,0,7,1250,0,0,47.3343,1280,0,0,0,0,0
4,1.75,1620,1.0,0,0,7,860,760,0,47.7025,1400,0,0,0,0,0
3,2.75,3050,1.0,0,4,9,2330,720,0,47.5316,4110,0,0,0,1,0
5,2.5,2270,2.0,0,0,8,2270,0,0,47.3266,2240,0,0,0,0,0
2,1.5,1070,1.0,0,0,7,1070,0,0,47.3533,1220,0,0,0,0,0
3,2.25,2450,2.0,0,0,8,2450,0,0,47.3739,2200,0,0,0,0,0
3,2.0,1710,1.5,0,0,6,1710,0,0,47.3048,1030,0,0,0,0,0
3,1.75,2450,2.0,0,0,8,1750,700,0,47.6386,1760,0,0,0,0,0
3,1.0,1400,1.5,0,0,8,1400,0,0,47.6221,1860,0,0,0,0,1
3,1.75,1520,1.0,0,0,7,790,730,0,47.695,1520,0,0,0,0,0
4,2.5,2570,2.0,0,0,8,2570,0,0,47.7073,2630,0,0,0,0,0
3,2.5,2320,2.0,0,0,8,2320,0,0,47.5391,2580,0,0,0,0,0
2,1.5,1190,3.0,0,0,7,1190,0,0,47.7274,1390,0,0,0,0,0
4,1.75,2330,1.5,0,0,7,1510,820,0,47.6823,1460,0,0,0,0,0
3,1.0,1090,1.5,0,0,8,1090,0,0,47.6889,1570,0,0,0,0,0
4,2.75,2060,1.0,0,0,7,1280,780,0,47.4276,2020,0,0,0,0,0
3,2.5,2300,1.5,0,0,8,1510,790,2002,47.6827,1590,0,0,0,0,0
4,1.0,1660,1.0,0,0,5,930,730,0,47.6621,2160,0,0,0,0,0
4,2.0,2360,2.0,0,0,8,2360,0,0,47.6702,1730,0,0,0,0,0
4,1.0,1220,1.0,0,0,7,890,330,0,47.3341,1290,0,0,0,0,0
4,2.5,2620,2.0,0,0,8,2620,0,0,47.5301,2620,0,0,0,0,0
4,2.5,2570,2.0,0,0,9,2570,0,0,47.6145,2470,0,0,0,0,0
4,2.25,4220,1.0,0,0,8,2600,1620,0,47.445,2410,0,0,0,0,0
5,2.75,3595,2.0,0,0,9,3595,0,0,47.6848,3625,0,0,0,0,0
3,1.0,1570,2.0,0,0,7,1570,0,0,47.6413,1580,0,0,0,0,0
3,1.0,1280,1.0,0,0,6,920,360,0,47.4485,1340,0,0,0,0,0
3,2.5,3160,2.0,0,0,8,3160,0,0,47.7443,3050,0,0,0,0,0
3,1.0,990,1.0,0,0,6,990,0,0,47.3066,1228,0,0,0,0,0
4,2.5,2290,2.0,0,0,9,2290,0,0,47.6194,2680,0,0,0,0,0
3,1.75,1250,1.0,0,0,7,1250,0,0,47.6796,970,0,0,0,0,0
3,2.5,2753,1.0,1,2,9,2165,588,0,47.4041,2680,0,0,0,0,0
3,1.0,1190,1.0,0,0,7,1190,0,0,47.4258,1190,0,0,0,0,0
5,2.5,3150,1.0,0,0,8,1640,1510,0,47.4934,1990,0,0,0,0,0
3,1.75,1410,1.0,0,0,7,1000,410,0,47.6808,1410,0,0,0,0,0
2,1.75,1980,1.0,0,0,7,990,990,0,47.6989,1480,0,0,0,0,0
5,2.25,2730,1.5,0,0,8,2130,600,0,47.6571,2730,0,0,0,0,0
4,2.5,2830,2.0,0,0,9,2830,0,0,47.6597,1950,0,0,0,0,0
4,2.5,2250,2.0,0,0,7,2250,0,0,47.3663,2250,0,0,0,0,0
3,2.5,2420,2.0,0,0,8,2420,0,0,47.3663,2690,0,0,0,0,0
5,3.25,3250,2.0,0,4,8,3250,0,0,47.588,2960,0,0,0,0,0
4,3.0,1850,2.0,0,0,8,1850,0,0,47.5059,2270,0,0,0,0,0
3,2.25,2150,1.0,0,3,8,1590,560,0,47.4336,2570,0,0,0,0,0
3,1.75,1260,1.0,0,0,7,1260,0,0,47.4366,1290,0,0,0,0,0
3,1.75,2519,2.0,0,0,8,2519,0,0,47.4428,2500,0,0,0,0,0
3,1.75,1540,3.0,0,0,8,1540,0,0,47.6765,1580,0,0,0,0,0
3,2.25,1660,1.0,0,0,7,1110,550,0,47.6113,1440,0,0,0,0,0
3,2.75,2770,1.5,0,0,7,1770,1000,0,47.5747,1440,0,0,0,0,0
4,2.5,2720,2.0,0,0,10,2720,0,0,47.5815,2750,1,0,0,0,0
4,2.5,2240,2.0,0,0,7,2240,0,0,47.3378,2221,0,0,0,0,0
3,1.0,1000,1.0,0,0,7,1000,0,0,47.3621,1010,0,0,0,0,0
5,2.25,3200,1.0,0,0,8,1600,1600,0,47.6303,3390,1,0,0,0,0
5,3.25,4770,1.0,0,0,11,3070,1700,0,47.6525,3530,0,0,0,0,0
3,2.0,1260,1.0,0,0,7,1260,0,0,47.7362,1640,0,0,0,0,0
4,2.0,2750,1.5,0,0,7,2250,500,0,47.7168,1510,0,0,0,0,0
4,2.5,2380,2.0,0,0,8,2380,0,0,47.3608,2420,0,0,0,0,0
3,1.75,1790,1.0,0,0,7,1090,700,0,47.3511,1940,0,0,0,0,0
4,4.0,3430,2.0,0,0,10,2390,1040,0,47.5822,3240,0,0,0,0,0
4,1.75,1760,1.0,0,0,7,880,880,0,47.6034,1680,0,0,0,0,0
3,1.0,1040,1.0,0,0,7,1040,0,0,47.5636,890,0,0,0,0,0
3,1.0,1410,1.0,0,0,7,910,500,0,47.7073,1130,0,0,0,0,0
4,2.5,3450,2.0,0,0,10,3450,0,0,47.342,3350,0,0,0,0,0
3,2.5,2350,2.0,0,0,8,2350,0,0,47.3512,2350,0,0,0,0,0
4,2.5,1900,2.0,0,0,7,1900,0,0,47.349,1870,0,0,0,0,0
2,1.0,2020,1.0,0,0,7,1010,1010,0,47.5474,1720,0,0,0,0,0
3,1.5,1680,1.0,0,0,8,1680,0,0,47.4811,1850,0,0,0,0,0
3,1.0,960,1.0,0,0,6,960,0,0,47.7264,1570,0,0,0,0,0
3,1.5,2140,2.0,0,0,9,1900,240,0,47.6337,2020,0,0,0,0,0
5,2.25,2660,1.5,0,0,7,2660,0,0,47.2909,1590,0,0,0,0,0
3,3.25,2770,2.0,0,0,9,1980,790,0,47.5228,1900,0,0,0,0,0
2,2.25,1610,2.0,0,0,7,1610,0,0,47.518,1950,0,0,0,0,0
2,1.75,1030,2.0,0,0,7,765,265,0,47.5394,1030,0,0,0,0,0
4,2.5,1980,2.0,0,0,7,1980,0,0,47.2897,1980,0,0,0,0,0
5,2.75,3520,2.0,0,0,10,3520,0,0,47.6506,2520,0,0,0,0,0
3,1.0,1200,1.0,0,0,7,1200,0,0,47.322,1350,0,0,0,0,0
3,1.5,1580,1.0,0,0,8,1290,290,0,47.687,1570,0,0,0,0,0
3,1.5,1580,1.0,0,0,8,1290,290,0,47.687,1570,0,0,0,0,0
4,2.5,3300,1.0,0,0,7,2390,910,1991,47.5873,1950,0,0,0,1,0
3,1.75,1960,1.0,0,0,7,1960,0,0,47.3576,1750,0,0,0,0,0
4,1.5,1160,1.0,0,0,7,1160,0,0,47.3036,1160,0,0,0,0,0
3,1.75,1810,1.0,0,0,7,1210,600,0,47.4109,1650,0,0,0,0,0
3,2.5,2320,2.0,0,2,9,2320,0,0,47.4838,2550,0,0,0,0,0
3,2.5,2070,1.5,0,0,9,1270,800,0,47.6415,2200,0,0,0,0,0
3,2.0,1980,1.5,0,0,7,1440,540,0,47.6775,1610,0,0,0,0,0
3,2.25,2190,2.0,0,0,8,2190,0,0,47.7731,2570,0,0,0,0,0
3,2.5,2920,2.0,0,0,8,2920,0,2010,47.5814,2370,1,0,0,0,0
3,1.0,1210,1.0,0,0,7,1210,0,0,47.4375,1640,0,0,0,0,0
3,2.5,2340,1.0,0,0,8,1460,880,0,47.4431,2250,0,0,0,0,0
3,1.0,1670,1.5,0,0,7,1170,500,0,47.6878,1240,0,0,0,0,0
2,1.75,1240,1.0,0,0,8,1240,0,0,47.3813,1270,0,0,0,0,0
4,2.5,3140,2.0,0,0,10,3140,0,0,47.7304,2990,0,0,0,0,0
5,1.75,2030,2.0,0,0,7,2030,0,0,47.6417,2500,0,0,0,0,0
4,2.5,2310,2.0,0,0,8,2310,0,0,47.5386,1940,0,0,0,0,0
3,1.75,1260,1.0,0,0,6,700,560,0,47.6823,1380,0,0,0,0,0
3,1.75,1540,1.0,0,0,7,1160,380,0,47.3624,1540,0,0,0,0,0
3,1.75,2080,1.0,0,2,7,1080,1000,0,47.5474,2090,0,0,0,0,0
4,2.5,3230,2.0,0,3,9,2520,710,0,47.3183,2640,0,0,0,0,0
3,3.5,4380,2.0,0,0,8,2780,1600,1999,47.6981,1830,0,0,0,0,0
3,3.5,1590,3.0,0,0,8,1590,0,0,47.6824,1620,0,0,0,0,0
2,1.0,880,1.0,0,0,6,880,0,0,47.5009,1190,0,0,0,0,0
4,2.0,1570,1.0,0,0,6,1570,0,0,47.4965,1880,0,0,0,0,0
